name,id,name_type,class,mass,fall,year,lat,long,geolocation,countrycode,countryname,continent,sub-region,intermediate-region
Apoala,2317,Valid,"Iron, IIIAB",85000.0,Found,1889,17.7,-97.0,"(17.7, -97.0)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Aprel'sky,2319,Valid,"Iron, IIIAB",54600.0,Found,1969,53.3,126.11667,"(53.3, 126.11667)",RU,Russia,Europe,Eastern Europe,
Arltunga,2334,Valid,"Iron, IID-an",18100.0,Found,1908,-23.33333,134.66666999999998,"(-23.33333, 134.66667)",AU,Australia,Oceania,Australia and New Zealand,
Armanty,2335,Valid,"Iron, IIIE",28000000.0,Found,1898,47.0,88.0,"(47.0, 88.0)",CN,China,Asia,Eastern Asia,
ar-Rakhbah,2338,Valid,Iron,462.0,Found,1955,20.6,52.5,"(20.6, 52.5)",YE,Yemen,Asia,Western Asia,
Asheville,2347,Valid,"Iron, IIIAB",800.0,Found,1839,35.58333,-82.53333,"(35.58333, -82.53333)",US,United States,Americas,Northern America,
Aswan,4882,Valid,"Iron, IAB-ung",12000.0,Found,1955,23.98611,32.62361,"(23.98611, 32.62361)",EG,Egypt,Africa,Northern Africa,
Augusta County,4897,Valid,"Iron, IIIAB",76000.0,Found,1858,38.16667,-79.08333,"(38.16667, -79.08333)",US,United States,Americas,Northern America,
Augustinovka,4898,Valid,"Iron, IIIAB",400000.0,Found,1890,48.06667,35.08333,"(48.06667, 35.08333)",UA,Ukraine,Europe,Eastern Europe,
Avoca (Western Australia),4909,Valid,"Iron, IIIAB",37850.0,Found,1966,-30.85,122.31667,"(-30.85, 122.31667)",AU,Australia,Oceania,Australia and New Zealand,
Babb's Mill (Blake's Iron),4915,Valid,"Iron, ungrouped",136000.0,Found,1876,36.3,-82.88333,"(36.3, -82.88333)",US,United States,Americas,Northern America,
Babb's Mill (Troost's Iron),4916,Valid,"Iron, ungrouped",6400.0,Found,1842,36.3,-82.88333,"(36.3, -82.88333)",US,United States,Americas,Northern America,
Bacubirito,4919,Valid,"Iron, ungrouped",22000000.0,Found,1863,26.2,-107.83333,"(26.2, -107.83333)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Bagdad,4920,Valid,"Iron, IIIAB",2200.0,Found,1959,34.613316999999995,-113.398967,"(34.613317, -113.398967)",US,United States,Americas,Northern America,
Bagnone,4921,Valid,"Iron, IIIAB",48000.0,Found,1904,44.31667,9.98333,"(44.31667, 9.98333)",IT,Italy,Europe,Southern Europe,
Bald Eagle,4924,Valid,"Iron, IIIAB",3200.0,Found,1891,41.28333,-77.05,"(41.28333, -77.05)",US,United States,Americas,Northern America,
Balfour Downs,4927,Valid,"Iron, IAB-sLL",2400.0,Found,1962,-22.75,120.83333,"(-22.75, 120.83333)",AU,Australia,Oceania,Australia and New Zealand,
Ballarat,4929,Valid,"Iron, IAB complex",15.0,Found,1867,-37.57083,143.82533,"(-37.57083, 143.82533)",AU,Australia,Oceania,Australia and New Zealand,
Balsas,4932,Valid,"Iron, IIIAB",41000.0,Found,1974,-7.5313300000000005,-46.04117,"(-7.53133, -46.04117)",BR,Brazil,Americas,Latin America and the Caribbean,South America
Baquedano,4939,Valid,"Iron, IIIAB",22000.0,Found,1932,-23.3,-69.88333,"(-23.3, -69.88333)",CL,Chile,Americas,Latin America and the Caribbean,South America
Barbacena,4940,Valid,"Iron, ungrouped",9026.0,Found,1918,-21.21667,-43.93333,"(-21.21667, -43.93333)",BR,Brazil,Americas,Latin America and the Caribbean,South America
Barbianello,4941,Valid,"Iron, ungrouped",860.0,Found,1960,45.05778,9.19556,"(45.05778, 9.19556)",IT,Italy,Europe,Southern Europe,
Bartlett,4953,Valid,"Iron, IIIAB",8590.0,Found,1938,30.83333,-97.5,"(30.83333, -97.5)",US,United States,Americas,Northern America,
Baygorria,4980,Valid,"Iron, IAB complex",80000.0,Found,1994,-33.0,-56.0,"(-33.0, -56.0)",UY,Uruguay,Americas,Latin America and the Caribbean,South America
Bear Creek,4982,Valid,"Iron, IIIAB",227000.0,Found,1866,39.6,-105.3,"(39.6, -105.3)",US,United States,Americas,Northern America,
Bear Lodge,4983,Valid,"Iron, IIIAB",48500.0,Found,1931,44.5,-104.2,"(44.5, -104.2)",US,United States,Americas,Northern America,
Bella Roca,5003,Valid,"Iron, IIIAB",33000.0,Found,1888,24.9,-105.4,"(24.9, -105.4)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Benedict,5017,Valid,"Iron, IIIAB",16380.0,Found,1970,41.0,-97.53333,"(41.0, -97.53333)",US,United States,Americas,Northern America,
Billings,5047,Valid,"Iron, IIIAB",24500.0,Found,1903,37.06667,-93.55,"(37.06667, -93.55)",US,United States,Americas,Northern America,
Bischtübe,5057,Valid,"Iron, IAB-sLL",48250.0,Found,1888,51.95,62.2,"(51.95, 62.2)",KZ,Kazakhstan,Asia,Central Asia,
Bishop Canyon,5058,Valid,"Iron, IVA",8600.0,Found,1912,38.0,-108.5,"(38.0, -108.5)",US,United States,Americas,Northern America,
Bitburg,5062,Valid,"Iron, IAB complex",1500000.0,Found,1805,49.96667,6.53333,"(49.96667, 6.53333)",DE,Germany,Europe,Western Europe,
Blue Tier,5077,Valid,Iron,1400.0,Found,1890,-41.18333,148.03333,"(-41.18333, 148.03333)",AU,Australia,Oceania,Australia and New Zealand,
Bluewater,5078,Valid,"Iron, IIIAB",9540.0,Found,1946,35.26667,-107.96667,"(35.26667, -107.96667)",US,United States,Americas,Northern America,
Bocaiuva,5092,Valid,"Iron, ungrouped",64000.0,Found,1965,-17.16667,-43.83333,"(-17.16667, -43.83333)",BR,Brazil,Americas,Latin America and the Caribbean,South America
Bodaibo,5094,Valid,"Iron, IVA",15900.0,Found,1907,57.85,114.2,"(57.85, 114.2)",RU,Russia,Europe,Eastern Europe,
Boogaldi,5107,Valid,"Iron, IVA",2000.0,Found,1900,-31.15,149.11667,"(-31.15, 149.11667)",AU,Australia,Oceania,Australia and New Zealand,
Botetourt County,5116,Valid,Iron,500.0,Found,1850,37.5,-79.75,"(37.5, -79.75)",US,United States,Americas,Northern America,
Boxhole,5126,Valid,"Iron, IIIAB",500000.0,Found,1937,-22.61667000000001,135.2,"(-22.61667, 135.2)",AU,Australia,Oceania,Australia and New Zealand,
