name,id,name_type,class,mass,fall,year,lat,long,geolocation,countrycode,countryname,continent,sub-region,intermediate-region
Yamato 82079,29273,Valid,H5,13.95,Found,1982,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Dhofar 027,6726,Valid,L6,623.0,Found,1999,19.26333,54.72067,"(19.26333, 54.72067)",OM,Oman,Asia,Western Asia,
Yamato 794068,29022,Valid,H4,9.36,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Queen Alexandra Range 99871,22315,Valid,LL5,7.4,Found,1999,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Uden,24103,Valid,LL7,710.0,Fell,1840,51.65,5.61667,"(51.65, 5.61667)",NL,Netherlands,Europe,Western Europe,
LaPaz Icefield 02436,12703,Valid,Lunar (basalt),59.0,Found,2002,-86.36667,-70.0,"(-86.36667, -70.0)",AR,Argentina,Americas,Latin America and the Caribbean,South America
Queen Alexandra Range 93260,19349,Valid,L5,24.4,Found,1993,-84.59983000000003,162.19326999999996,"(-84.59983, 162.19327)",AQ,Antarctica,Antarctica,Antarctica,
Grosvenor Mountains 95554,11282,Valid,H6,201.9,Found,1995,-85.66667,175.0,"(-85.66667, 175.0)",AQ,Antarctica,Antarctica,Antarctica,
Queen Alexandra Range 97743,21199,Valid,L6,15.4,Found,1997,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Dar al Gani 405,5953,Valid,H3.5,193.0,Found,1998,27.93133,15.8675,"(27.93133, 15.8675)",LY,Libya,Africa,Northern Africa,
Meteorite Hills 00809,16043,Valid,LL6,35.89,Found,2000,-79.68333,155.75,"(-79.68333, 155.75)",AQ,Antarctica,Antarctica,Antarctica,
Allan Hills 82116,492,Valid,H6,18.4,Found,1982,-77.03694,157.04639,"(-77.03694, 157.04639)",AQ,Antarctica,Antarctica,Antarctica,
Yamato 791999,27348,Valid,H4,35.52,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Grove Mountains 021575,49835,Valid,L5,2.5,Found,2003,-72.96028000000003,75.22222,"(-72.96028, 75.22222)",TF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
Dhofar 050,6749,Valid,L5,300.0,Found,1999,19.176,54.87683000000001,"(19.176, 54.87683)",OM,Oman,Asia,Western Asia,
Lewis Cliff 88509,14252,Valid,H6,14.5,Found,1988,-84.24683,161.39533,"(-84.24683, 161.39533)",AQ,Antarctica,Antarctica,Antarctica,
Jiddat al Harasis 674,56228,Valid,H5,22.6,Found,2011,19.66163,55.69758,"(19.66163, 55.69758)",OM,Oman,Asia,Western Asia,
Yamato 794009,28963,Valid,H3.8,54.19,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Great Sand Sea 040,53618,Valid,LL5,15.0,Found,2010,26.32733,27.33667,"(26.32733, 27.33667)",EG,Egypt,Africa,Northern Africa,
Allan Hills A78175,1788,Valid,H5,9.71,Found,1977,-76.71667,159.66666999999995,"(-76.71667, 159.66667)",AQ,Antarctica,Antarctica,Antarctica,
Asuka 882023,4732,Valid,Mesosiderite,1115.45,Found,1988,-72.0,26.0,"(-72.0, 26.0)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
MacAlpine Hills 87305,15248,Valid,L4,1244.2,Found,1987,-84.21667,160.5,"(-84.21667, 160.5)",AQ,Antarctica,Antarctica,Antarctica,
Queen Alexandra Range 971030,20540,Valid,LL5,4.3,Found,1997,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Allan Hills 84010,613,Valid,Aubrite,303.0,Found,1984,-76.88571999999998,158.61378,"(-76.88572, 158.61378)",AQ,Antarctica,Antarctica,Antarctica,
Yamato 791757,27106,Valid,L4,3.83,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Elephant Moraine 83261,7901,Valid,L6,54.5,Found,1983,-76.28833,157.19195,"(-76.28833, 157.19195)",AQ,Antarctica,Antarctica,Antarctica,
Frontier Mountain 10057,54847,Valid,H3,3.0,Found,2011,-72.95183,160.50678,"(-72.95183, 160.50678)",AQ,Antarctica,Antarctica,Antarctica,
Asuka 881493,4202,Valid,H3.7,245.3,Found,1988,-72.0,26.0,"(-72.0, 26.0)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Sukhoj Liman,23739,Valid,H4/5,48000.0,Found,1987,46.4,30.8,"(46.4, 30.8)",UA,Ukraine,Europe,Eastern Europe,
Hughes 036,11960,Valid,H4,35.9,Found,1993,-30.35,129.66666999999998,"(-30.35, 129.66667)",AU,Australia,Oceania,Australia and New Zealand,
Yamato 792580,27929,Valid,H4/5,6.76,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Yamato 790654,26003,Valid,LL,6.05,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Cook 012,54926,Valid,H4,6.6,Found,2010,-30.91378,130.90386,"(-30.91378, 130.90386)",AU,Australia,Oceania,Australia and New Zealand,
Pecora Escarpment 91144,18435,Valid,L4,59.6,Found,1991,-85.66704,-69.01564,"(-85.66704, -69.01564)",AR,Argentina,Americas,Latin America and the Caribbean,South America
Bukhara,30448,Valid,CV3,5300.0,Fell,2001,39.77978,64.60035,"(39.77978, 64.60035)",UZ,Uzbekistan,Asia,Central Asia,
Elephant Moraine 90901,9310,Valid,L6,70.5,Found,1990,-76.27526,156.5331,"(-76.27526, 156.5331)",AQ,Antarctica,Antarctica,Antarctica,
Yamato 793496,28845,Valid,L6,4583.0,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Lewis Cliff 88416,14161,Valid,LL6,11.1,Found,1988,-84.23734,161.44746,"(-84.23734, 161.44746)",AQ,Antarctica,Antarctica,Antarctica,
South Plains,23680,Valid,L5,4763.0,Found,1971,34.26667,-101.25,"(34.26667, -101.25)",US,United States,Americas,Northern America,
Efremovka,7772,Valid,CV3,21000.0,Found,1962,52.5,77.0,"(52.5, 77.0)",KZ,Kazakhstan,Asia,Central Asia,
Elephant Moraine 99443,9986,Valid,Howardite,2.4,Found,1999,-76.18333,157.16666999999995,"(-76.18333, 157.16667)",AQ,Antarctica,Antarctica,Antarctica,
Pecora Escarpment 91453,18744,Valid,LL6,91.8,Found,1991,-85.65916999999997,-68.16705999999999,"(-85.65917, -68.16706)",AR,Argentina,Americas,Latin America and the Caribbean,South America
Meteorite Hills 001129,15625,Valid,LL5,11.4,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)",AQ,Antarctica,Antarctica,Antarctica,
Asuka 881909,4618,Valid,LL4,601.44,Found,1988,-72.0,26.0,"(-72.0, 26.0)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Asuka 881303,4012,Valid,H5,23.12,Found,1988,-72.0,26.0,"(-72.0, 26.0)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Queen Alexandra Range 94213,19855,Valid,L6,1227.0,Found,1994,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Yamato 75069,25110,Valid,L6,8.1,Found,1975,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Grove Mountains 022453,46907,Valid,L6,16.27,Found,2003,-72.77333,75.32861,"(-72.77333, 75.32861)",TF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
Elephant Moraine 90462,8871,Valid,L6,68.3,Found,1990,-76.28339,156.46237,"(-76.28339, 156.46237)",AQ,Antarctica,Antarctica,Antarctica,
Asuka 880956,3665,Valid,H3.7-6,97.8,Found,1988,-72.0,26.0,"(-72.0, 26.0)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Yamato 793248,28597,Valid,H4,0.62,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Yamato 86359,29865,Valid,H4,7.94,Found,1986,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Queen Alexandra Range 93627,19714,Valid,L5,6.6,Found,1993,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Jiddat al Harasis 276,35593,Valid,H4/6,1798.9,Found,2005,19.97933,55.95506999999999,"(19.97933, 55.95507)",OM,Oman,Asia,Western Asia,
El Médano 001,54449,Valid,H6,10.0,Found,2010,-24.85,-70.53333,"(-24.85, -70.53333)",CL,Chile,Americas,Latin America and the Caribbean,South America
Elephant Moraine 90749,9158,Valid,L6,10.0,Found,1990,-76.28256999999998,156.46062,"(-76.28257, 156.46062)",AQ,Antarctica,Antarctica,Antarctica,
Allan Hills A78204,1817,Valid,H5,11.11,Found,1977,-76.71667,159.66666999999995,"(-76.71667, 159.66667)",AQ,Antarctica,Antarctica,Antarctica,
Grove Mountains 020096,46525,Valid,L5,1.79,Found,2003,-72.99694000000002,75.20611,"(-72.99694, 75.20611)",TF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
Meteorite Hills 01167,16399,Valid,LL6,43.3,Found,2001,-79.68333,159.75,"(-79.68333, 159.75)",AQ,Antarctica,Antarctica,Antarctica,
Grove Mountains 051619,50283,Valid,L4,188.02,Found,2006,-72.78111,75.31222,"(-72.78111, 75.31222)",TF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
Yamato 793168,28517,Valid,L6,3859.0,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
